Date,Product Name,Product ID,Sale Cost,Order Cost,Daily Product Cost,Based on sale,Based on Stock,Is 0 or empty,Need update,Cost should be
2025-02-18,Espinaca de verano,nj0huUQ3y50GEonQ5JMu,6000,0,0,0,1,TRUE,Needs Update,6000
2025-02-18,Pera,qzSrF2hjTJlD37CU0kPt,11000,0,0,0,1,TRUE,Needs Update,11000
2025-02-18,Pimiento verde,Y8ltURbXouK1Y0tOqA88,10000,0,0,0,1,TRUE,Needs Update,10000
2025-02-18,Lechuguin,d6B09r0BRkhjWLdCN5PB,16000,0,0,0,1,TRUE,Needs Update,16000
2025-02-18,Zanahoria  dado,IqikBrGHEV9K0wUwlsD3,5500,0,5000,0,0,FALSE,Needs Update,5500
2025-02-18,pepino,JOLeSgvaOW402j0Yxcx4,16000,0,0,0,1,TRUE,Needs Update,16000
2025-02-18,Lechuga Repollada,xepOScOOUeS8L2pz5L45,13000,0,16000,0,0,FALSE,Needs Update,13000
2025-02-18,banana ecuador,KlX03q2aSvZH6BHA15GA,27000,0,0,0,1,TRUE,Needs Update,27000
2025-02-18,Tomate perita,vYJnLJarp9IYYegtXlDK,5000,0,0,0,1,TRUE,Needs Update,5000
2025-02-18,Pimiento rojo,zdlMGjpXEdStyVrgbUAG,12000,0,0,0,1,TRUE,Needs Update,12000
2025-02-18,Ajos,taghhkjKqtL0YVJh2w4Y,20000,0,0,0,1,TRUE,Needs Update,20000
2025-02-18,Repollo morado,SGUlYOFv5j4eYKm0Ymlt,1500,0,0,0,1,TRUE,Needs Update,1500
2025-02-18,Naranja jugo,VRkZ2WL7ctIbcy1ObTKV,15000,0,9000,0,0,FALSE,Needs Update,15000
2025-02-18,limon caja,QfcwEvDuAMA6eM6snYVG,20000,0,0,0,1,TRUE,Needs Update,20000
2025-02-18,Perejil,tOhZvTqnM4FoYzCvmsqf,1000,0,2500,0,0,FALSE,Needs Update,1000
